,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,domain,Model
model,0.6365671641791041,0.064869593468957,0.482027869269583,0.106722534187836,0.11546950411440701,0.063400339442928,Full data,Kuma
model,0.825154947638384,0.009663965730102001,0.818791361926484,0.010751136802623,0.044930136719048004,0.019597382463523,InDomain,Kuma
model,0.7830091899978621,0.017032977631606,0.7907053653361871,0.017283298317682,0.057205121431576,0.024163050458525,OOD1,Kuma
model,0.7647787988886511,0.013561326672980002,0.773546307122801,0.014544405634730001,0.067819517457248,0.02094344714484,OOD2,Kuma
model,0.866210728788202,0.0008714205188230001,0.868416766968318,0.0008724981085160001,0.064451322605987,0.014614274986919001,Full data,LSTM
model,0.848536011968369,0.001734434158176,0.8440384918456251,0.001171253112276,0.048939902060407006,0.023040948232944003,InDomain,LSTM
model,0.8188929258388541,0.005367501094819,0.823851978340239,0.005043506491312,0.057773274194738,0.027193238418661003,OOD1,LSTM
model,0.7869843983757211,0.006181153710619,0.794365710184418,0.0062502196933,0.074438233095551,0.028790139189587,OOD2,LSTM
